,make,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
56,4,Corolla Altis 1.8 VL CVT,2018,19080.0,25000,1,1,1,0,14.28,1798.0,138.03,173Nm@ 4000rpm,5.0
57,15,A6 2.0 TDI Design Edition,2013,20279.988,50000,0,1,1,0,18.53,1968.0,187.74,400Nm@ 1750-3000rpm,5.0
58,13,New C-Class 220 CDI AT,2013,17100.0,59000,0,1,1,0,14.84,2143.0,170.0,400Nm@ 1400-2800rpm,5.0
59,8,Manza ELAN Quadrajet BS IV,2011,3180.0,120000,0,0,0,0,21.12,1248.0,88.8,200Nm@ 1750-3000rpm,5.0
60,3,i10 Magna,2011,2280.0,110000,1,0,0,2,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0
61,3,i20 Asta 1.4 CRDi,2013,5100.0,60000,0,0,0,0,21.27,1396.0,88.76,219.6Nm@ 1500-2750rpm,5.0
62,0,Swift Dzire ZDI,2015,7560.0,147000,0,0,0,1,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0
63,5,Figo 1.2P Titanium MT,2017,7200.0,25000,1,0,0,2,18.16,1196.0,86.8,112Nm@ 4000rpm,5.0
64,0,Baleno Delta 1.2,2019,7800.0,30000,1,0,0,0,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0
65,16,Ameo 1.5 TDI Highline 16 Alloy,2016,6480.0,40000,0,0,0,0,22.0,1498.0,108.495,250Nm@ 1500-3000rpm,5.0
66,2,City i DTEC VX,2015,7560.0,135000,0,0,0,0,25.1,1498.0,98.6,200Nm@ 1750rpm,5.0
67,0,Wagon R AMT VXI,2018,5376.0,30000,1,0,1,0,20.51,998.0,67.0,90Nm@ 3500rpm,5.0
68,16,Ameo 1.5 TDI Comfortline,2017,6000.0,80000,0,0,0,0,21.66,1498.0,108.62,250Nm@ 1500-3000rpm,5.0
69,0,Vitara Brezza VDi,2016,8940.0,70000,0,0,0,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
70,0,Vitara Brezza ZDi Plus AMT,2019,12300.0,9850,0,0,1,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
71,3,i10 Magna,2011,2820.0,60000,1,0,0,1,20.36,1197.0,78.9,111.7Nm@ 4000rpm,5.0
72,0,Swift VDI Deca,2016,7560.0,70000,0,0,0,0,25.2,1248.0,74.0,190Nm@ 2000rpm,5.0
73,4,Fortuner 4x4 MT,2015,20400.0,78000,0,0,0,1,12.55,2982.0,168.5,343Nm@ 1400-3400rpm,7.0
74,0,Swift Star VDI,2013,5400.0,120000,0,0,0,1,22.9,1248.0,74.0,190Nm@ 2000rpm,5.0
75,0,Ertiga ZXI,2012,5400.0,120000,1,0,0,1,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0
76,16,Vento Diesel Highline,2013,5400.0,170000,0,0,0,0,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5.0
77,4,Innova 2.5 VX (Diesel) 8 Seater,2016,14400.0,140000,0,0,0,0,12.99,2494.0,100.6,200Nm@ 1200-3600rpm,8.0
78,5,EcoSport 1.5 TDCi Titanium Plus BSIV,2015,7320.0,90000,0,0,0,0,22.77,1498.0,98.59,205Nm@ 1750-3250rpm,5.0
79,17,X1 sDrive20i xLine,2016,30000.0,30000,1,0,1,1,15.71,1998.0,189.0,280Nm@ 1350-4600rpm,5.0
80,0,Celerio ZXI MT BSIV,2017,5819.988,10000,1,1,0,0,23.1,998.0,67.04,90Nm@ 3500rpm,5.0
81,11,GO A Petrol,2016,3300.0,49000,1,1,0,0,19.02,1198.0,67.05,104Nm@ 4000rpm,5.0
82,0,Alto 800 VXI BSIV,2016,3780.0,32000,1,1,0,0,24.7,796.0,47.3,69Nm@ 3500rpm,5.0
83,0,Alto 800 LXI BSIV,2016,3300.0,38000,1,1,0,0,24.7,796.0,47.3,69Nm@ 3500rpm,5.0
84,3,i10 Era 1.1,2012,3480.0,28000,1,1,0,0,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5.0
85,0,Omni 8 Seater BSIV,2017,3360.0,32000,1,1,0,0,14.0,796.0,35.0,6.1kgm@ 3000rpm,5.0
86,0,Wagon R LXI LPG BSIV,2010,2700.0,44000,2,1,0,0,26.2 km/kg,998.0,58.2,77Nm@ 3500rpm,5.0
87,16,Polo 1.2 MPI Comfortline,2015,5460.0,42000,1,1,0,0,16.47,1198.0,74.0,110Nm@ 3750rpm,5.0
88,3,i10 Magna 1.1L,2015,4212.0,45000,1,1,0,1,19.81,1086.0,68.05,99.04Nm@ 4500rpm,5.0
89,16,Vento Petrol Highline,2012,6420.0,12000,1,1,0,1,15.04,1598.0,103.6,153Nm@ 3800rpm,5.0
90,0,Zen Estilo LXI BSIII,2009,2100.0,55500,1,1,0,0,18.2,998.0,67.1,90Nm@ 3500rpm,5.0
91,3,i20 Asta Optional with Sunroof 1.2,2013,6300.0,61500,1,1,0,0,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5.0
92,0,Swift Dzire LDI,2016,7200.0,150000,0,0,0,0,26.59,1248.0,74.0,190Nm@ 2000rpm,5.0
93,3,Xcent 1.2 Kappa SX Option AT,2016,6780.0,72000,1,1,1,0,19.1,1197.0,82.0,114Nm@ 4000rpm,5.0
94,0,Alto LX BSIII,2008,1440.0,68000,1,1,0,2,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
95,3,i20 1.4 Asta Option,2017,8700.0,110000,0,0,0,0,22.54,1396.0,88.73,219.7Nm@ 1500-2750rpm,5.0
96,0,Wagon R VXI,2009,2220.0,77000,1,1,0,1,21.79,998.0,67.05,90Nm@ 3500rpm,5.0
97,8,Manza Aura (ABS) Quadrajet,2010,2400.0,100000,0,0,0,1,18.8,1248.0,90.0,200Nm@ 1750-3000rpm,5.0
98,0,Swift VXI,2019,7380.0,10000,1,0,0,0,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0
99,0,Eeco 7 Seater Standard BSIV,2016,3240.0,100000,1,0,0,2,15.37,1196.0,73.0,101Nm@ 3000rpm,7.0
100,0,Baleno Zeta 1.2,2018,7320.0,35000,1,0,0,0,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0
101,7,Scorpio VLX AT AIRBAG BSIV,2014,7500.0,70000,0,0,1,1,11.79,2179.0,120.0,290Nm@ 1800-2800rpm,8.0
102,5,Freestyle Titanium Petrol BSIV,2020,4800.0,5000,1,0,0,1,19.0,1194.0,94.68,120Nm@ 4250rpm,5.0
103,3,Verna VTVT 1.6 SX,2017,10392.0,37800,1,0,0,0,17.0,1591.0,121.3,151Nm@ 4850rpm,5.0
104,16,Passat 1.8 TSI MT,2010,8400.0,114000,1,0,0,0,14.3,1798.0,160.0,250Nm@ 1500~4500rpm,5.0
105,8,Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,3600.0,48000,1,0,0,0,15.8,1172.0,65.0,96 Nm at 3000 rpm,5.0
106,7,XUV500 W11 Option AWD,2019,20400.0,32000,0,0,0,0,15.1,2179.0,155.0,360Nm@ 1750-2800rpm,7.0
107,8,Indigo CS LS (TDI) BS-III,2016,4500.0,100000,0,0,0,0,19.09,1405.0,69.01,135Nm@ 2500rpm,5.0
108,3,Verna 1.6 SX,2013,6264.0,150000,0,0,0,1,22.32,1582.0,126.32,259.8Nm@ 1900-2750rpm,5.0
109,3,i20 Magna 1.4 CRDi (Diesel),2013,5423.988,69000,0,0,0,0,21.9,1396.0,88.76,219.6Nm@ 1500-2750rpm,5.0
110,4,Corolla Altis G,2009,3600.0,100000,1,0,0,1,14.53,1798.0,138.1,173Nm@ 4000rpm,5.0
111,0,Celerio VXI,2020,5700.0,13000,1,0,0,0,21.63,998.0,67.04,90Nm@ 3500rpm,5.0
112,0,Vitara Brezza ZDi Plus Dual Tone,2016,9360.0,60000,0,0,0,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
113,0,Swift Dzire VXI,2017,7140.0,40000,1,0,0,0,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0
114,0,Wagon R VXI BS IV,2017,5280.0,35000,1,0,0,0,20.51,998.0,67.04,90Nm@ 3500rpm,5.0
115,18,Terrano XL 85 PS,2014,4800.0,70000,0,0,0,2,20.45,1461.0,83.8,200Nm@ 1900rpm,5.0
116,3,Creta 1.6 CRDi SX,2016,13680.0,50000,0,0,0,0,19.67,1582.0,126.2,259.9Nm@ 1900-2750rpm,5.0
117,5,EcoSport 1.5 Diesel Titanium Plus BSIV,2017,10200.0,76139,0,0,0,0,23.0,1498.0,98.96,205Nm@ 1750-3250rpm,5.0
118,0,Swift Dzire VDi,2012,4440.0,175000,0,0,0,3,19.3,1248.0,73.9,190Nm@ 2000rpm,5.0
119,6,KWID 1.0,2018,4200.0,25000,1,0,0,0,23.01,999.0,67.0,91Nm@ 4250rpm,5.0
120,0,Celerio VXI,2015,4320.0,40000,1,0,0,1,23.1,998.0,67.04,90Nm@ 3500rpm,5.0
121,0,Alto LXi,2008,1260.0,65000,1,0,0,3,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
122,0,Ertiga VDI,2013,7500.0,90000,0,0,0,1,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0
123,3,Santro Xing GLS,2009,1620.0,80000,1,0,0,1,17.92,1086.0,62.1,96.1Nm@ 3000rpm,5.0
124,0,Ertiga VDI,2015,8400.0,110000,0,0,0,1,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0
125,2,Amaze S i-VTEC,2019,8280.0,1303,1,1,0,0,17.8,1198.0,86.7,109Nm@ 4500rpm,5.0
126,1,Superb LK 1.8 TSI AT,2018,22379.988,50000,1,1,1,0,14.67,1798.0,177.46,250@ 1250-5000rpm,5.0
127,13,E-Class E250 Edition E,2016,32400.0,35000,0,1,1,0,15.0,2143.0,204.0,500Nm@ 1600-1800rpm,5.0
128,22,Hector Sharp AT BSIV,2019,21000.0,19000,1,1,1,0,13.96,1451.0,141.0,250Nm@ 1600-3600rpm,5.0
129,2,City i-VTEC CVT VX,2017,9540.0,41000,1,1,1,0,18.0,1497.0,117.6,145Nm@ 4600rpm,5.0
130,4,Corolla Altis 1.8 G CVT,2013,7500.0,39000,1,1,1,0,14.28,1798.0,138.03,173Nm@ 4000rpm,5.0
131,15,Q7 35 TDI Quattro Premium,2015,31800.0,53000,0,1,1,0,12.07,2967.0,241.4,550Nm@ 1750-2750rpm,7.0
132,0,Ciaz ZDi,2015,6420.0,40000,0,1,0,0,26.21,1248.0,88.5,200Nm@ 1750rpm,5.0
133,17,5 Series 523i,2010,11700.0,72200,1,1,1,1,10.8,2497.0,150.0,250 Nm at 2750 rpm,5.0
134,3,Elantra S,2016,9660.0,49900,1,1,0,0,16.3,1797.0,147.5,177.5Nm@ 4700rpm,5.0
135,20,XE 2016-2019 2.0L Diesel Prestige,2017,31500.0,9000,0,1,1,0,13.6,1999.0,177.0,430Nm@ 1750-2500rpm,5.0
136,8,Nexon 1.2 Revotron XZ Plus Dual Tone,2018,9732.0,11000,1,1,0,0,17.0,1198.0,108.5,170Nm@ 1750-4000rpm,5.0
137,16,Vento Petrol Highline,2011,4500.0,49000,1,0,0,0,15.04,1598.0,103.6,153Nm@ 3800rpm,5.0
138,3,Elantra SX,2012,6600.0,95000,1,0,0,0,16.3,1797.0,147.5,177.5Nm@ 4700rpm,5.0
139,1,Rapid 1.6 MPI AT Elegance,2016,7740.0,11000,1,1,1,0,14.3,1598.0,103.5,153Nm@ 3800rpm,5.0
140,13,CLA 200 CGI Sport,2018,30600.0,18000,1,1,1,0,15.04,1991.0,183.0,300Nm@ 1200-4000rpm,5.0
141,0,Ertiga ZXI,2014,7188.0,46100,1,1,0,0,16.02,1373.0,93.7,130Nm@ 4000rpm,7.0
142,13,New C-Class C 200 AVANTGARDE,2017,32400.0,16000,1,1,1,0,14.74,1991.0,181.04,300Nm@ 1200-1400rpm,5.0
143,2,City V AT,2017,10500.0,18000,1,1,1,0,15.6,1497.0,116.3,146Nm@ 4800rpm,5.0
144,4,Glanza V CVT,2019,10739.988,9654,1,1,1,0,19.56,1197.0,81.8,113Nm@ 4200rpm,5.0
145,0,Alto K10 VXI,2011,2100.0,11000,1,1,0,0,23.95,998.0,67.05,90Nm@ 3500rpm,5.0
146,0,Swift VXI,2012,4080.0,24300,1,1,0,0,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0
147,4,Innova Crysta 2.8 ZX AT BSIV,2016,18300.0,42163,0,1,1,1,11.36,2755.0,171.5,360Nm@ 1200-3400rpm,7.0
148,8,Nexon 1.5 Revotorq XZA Plus DualTone,2018,12300.0,8000,0,1,1,0,21.5,1497.0,108.5,260Nm@ 1500-2750rpm,5.0
149,17,3 Series 320d Luxury Line,2016,25800.0,30000,0,1,1,0,22.69,1995.0,190.0,400Nm@ 1750-2500rpm,5.0
150,4,Camry 2.5 Hybrid,2016,22800.0,41000,1,1,1,0,19.16,2494.0,157.7,213Nm@ 4500rpm,5.0
151,17,5 Series 520d Luxury Line,2016,34800.0,12000,0,1,1,0,18.12,1995.0,190.0,400Nm@ 1750-2500rpm,5.0
152,4,Camry W4 (AT),2009,5400.0,71000,1,1,1,0,12.1,2362.0,164.7,224Nm@ 4000rpm,5.0
153,0,Ertiga BSIV ZXI Plus,2016,10200.0,20000,1,0,0,0,17.5,1373.0,91.1,130Nm@ 4000rpm,7.0
154,16,Vento Diesel Highline,2011,3600.0,100000,0,0,0,1,20.54,1598.0,103.6,250Nm@ 1500-2500rpm,5.0
155,5,Figo Aspire 1.2 Ti-VCT Trend,2018,6900.0,9500,1,0,0,0,18.16,1196.0,86.8,112Nm@ 4000rpm,5.0
156,5,Figo Diesel LXI,2011,1920.0,120000,0,0,0,0,20.0,1399.0,68.0,160Nm@ 2000rpm,5.0
157,0,Swift VXI Optional,2015,6180.0,36600,1,0,0,0,20.4,1197.0,81.8,113Nm@ 4200rpm,5.0
158,0,Wagon R AMT VXI,2015,4680.0,50000,1,0,1,1,20.51,998.0,67.0,90Nm@ 3500rpm,5.0
159,3,i20 Magna 1.2,2016,6600.0,14000,1,0,0,1,18.6,1197.0,81.83,114.7Nm@ 4000rpm,5.0
160,0,800 Std,1999,480.0,40000,1,0,0,1,16.1,796.0,37.0,59Nm@ 2500rpm,4.0
161,0,Ritz VDi,2010,2640.0,120000,0,0,0,0,21.1,1248.0,73.9,113Nm@ 4500rpm,5.0
162,3,Grand i10 Magna,2015,5100.0,70000,1,0,0,0,18.9,1197.0,82.0,114Nm@ 4000rpm,5.0
163,16,Ameo 1.0 MPI Trendline,2019,5760.0,13000,1,0,0,0,19.44,999.0,75.0,95Nm@ 3000-4300rpm,5.0
164,3,Grand i10 Sportz,2014,4800.0,60000,1,0,0,1,18.9,1197.0,82.0,114Nm@ 4000rpm,5.0
165,0,Swift Dzire VXI,2014,5844.0,35000,1,0,0,0,19.1,1197.0,85.8,114Nm@ 4000rpm,5.0
166,3,Xcent 1.2 Kappa S,2016,4632.0,44000,1,0,0,1,19.1,1197.0,82.0,114Nm@ 4000rpm,5.0
167,2,City 1.5 EXI,2005,1200.0,120000,1,0,0,1,13.0,1493.0,100.0,13.1kgm@ 4600rpm,5.0
168,4,Corolla Altis Diesel D4DG,2010,3600.0,60000,0,0,0,0,21.43,1364.0,87.2,205Nm@ 1800-2800rpm,5.0
169,24,Matiz SD,2000,1200.0,60000,1,0,0,0,18.5,796.0,53.0,71Nm@ 3500rpm,5.0
170,4,Fortuner 4x2 Manual,2014,21000.0,30000,0,0,0,1,13.0,2982.0,168.5,343Nm@ 1400-3400rpm,7.0
171,7,KUV 100 mFALCON G80 K8,2016,5400.0,15000,1,0,0,1,18.15,1198.0,82.0,115Nm@ 3500-3600rpm,6.0
172,8,Zest Quadrajet 1.3 75PS XM,2017,5880.0,90000,0,0,0,0,22.95,1248.0,74.0,190Nm@ 1750-3000rpm,5.0
173,2,City 1.5 S MT,2009,4140.0,47000,1,0,0,1,17.0,1497.0,118.0,146Nm at 4800 rpm,5.0
174,0,Zen LXI,2005,1020.0,90000,1,0,0,0,17.3,993.0,60.0,78Nm@ 4500rpm,5.0
175,0,Wagon R VXI BS IV with ABS,2010,2580.0,120600,1,0,0,1,18.9,998.0,67.1,90Nm@ 3500rpm,5.0
176,3,Verna Transform SX VTVT,2010,3840.0,100000,1,0,0,2,16.2,1599.0,103.2,14.9 KGM at 3000 RPM,5.0
177,0,Swift Dzire VXI,2016,5519.988,60000,1,0,0,1,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0
178,3,Getz GLS,2005,780.0,86000,1,0,0,0,15.3,1341.0,83.0,115Nm@ 3200rpm,5.0
179,3,Elite i20 Sportz Plus BSIV,2020,8640.0,5000,1,0,0,0,18.6,1197.0,81.86,117nm@ 4000rpm,5.0
180,0,Ciaz 1.3 Alpha,2017,9600.0,37000,0,0,0,0,28.09,1248.0,88.5,200Nm@ 1750rpm,5.0
181,8,Tigor 1.2 Revotron XZ,2019,6240.0,14000,1,0,0,0,20.3,1199.0,84.0,114Nm@ 3500rpm,5.0
182,0,Ertiga VDI,2015,6960.0,70000,0,0,0,0,20.77,1248.0,88.76,200Nm@ 1750rpm,7.0
183,2,City i VTEC S,2015,7200.0,50000,1,0,0,0,17.4,1497.0,117.3,145Nm@ 4600rpm,5.0
184,2,Brio S MT,2014,3480.0,60000,1,0,0,1,19.4,1198.0,86.8,109Nm@ 4500rpm,5.0
185,0,Wagon R LXI CNG,2016,4320.0,50000,3,0,0,0,26.6 km/kg,998.0,58.16,77Nm@ 3500rpm,5.0
186,0,Swift Dzire VXI,2017,6600.0,50000,1,0,0,0,20.85,1197.0,83.14,115Nm@ 4000rpm,5.0
187,3,i20 Sportz 1.2,2013,4500.0,70000,1,0,0,0,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5.0
188,0,Wagon R AMT VXI,2018,5040.0,35000,1,0,1,0,20.51,998.0,67.0,90Nm@ 3500rpm,5.0
189,0,Swift Dzire VXI 1.2,2017,6600.0,20000,1,0,0,0,21.21,1197.0,81.8,113Nm@ 4200rpm,5.0
190,0,Alto 800 LXI,2018,3240.0,20000,1,0,0,0,24.7,796.0,47.3,69Nm@ 3500rpm,5.0
191,0,Swift Dzire AMT VXI BS IV,2018,8400.0,7800,1,0,1,0,22.0,1197.0,81.8,113Nm@ 4200rpm,5.0
192,0,Swift VXI Optional,2017,6000.0,20000,1,0,0,0,20.4,1197.0,81.8,113Nm@ 4200rpm,5.0
193,8,Hexa XE,2019,15000.0,15000,0,0,0,0,17.6,2179.0,147.94,320Nm@ 1500-3000rpm,7.0
194,3,i20 Magna,2013,3840.0,31377,1,0,0,1,18.5,1197.0,82.85,113.7Nm@ 4000rpm,5.0
195,0,Swift Dzire VDI,2018,8400.0,50000,0,0,0,0,28.4,1248.0,74.02,190Nm@ 2000rpm,5.0
196,0,Wagon R VXI BS IV,2015,3480.0,60000,1,0,0,0,20.51,998.0,67.04,90Nm@ 3500rpm,5.0
197,4,Corolla Altis 1.8 VL AT,2012,6600.0,100000,1,0,1,0,14.53,1794.0,138.1,173Nm@ 4000rpm,5.0
198,2,Brio S MT,2012,3180.0,60000,1,0,0,0,19.4,1198.0,86.8,109Nm@ 4500rpm,5.0
199,0,Baleno Alpha Automatic,2018,9960.0,5000,1,0,1,0,21.4,1197.0,83.1,115Nm@ 4000rpm,5.0
200,8,Safari Storme EX,2017,9600.0,60000,0,0,0,0,14.1,2179.0,147.94,320Nm@ 1500-3000rpm,7.0
201,0,Alto LXi,2011,1920.0,25000,1,0,0,1,19.7,796.0,46.3,62Nm@ 3000rpm,5.0
202,6,KWID RXT,2018,4020.0,30000,1,0,0,0,25.17,799.0,53.3,72Nm@ 4386rpm,5.0
203,11,GO T BSIV,2017,3948.0,80000,1,0,0,1,20.63,1198.0,67.0,104Nm@ 4000rpm,5.0
204,0,Vitara Brezza VDi Option,2017,9300.0,75000,0,0,0,0,24.3,1248.0,88.5,200Nm@ 1750rpm,5.0
205,3,Xcent 1.2 VTVT SX,2020,6288.0,32000,1,0,0,0,20.14,1197.0,81.86,113.75nm@ 4000rpm,5.0
